,country,year,NY.GDP.MKTP.CD,EN.ATM.CO2E.KT
192,Timor-Leste,2019,2047931700.0,620.000004768372
193,Tonga,2019,512350059.421629,159.999996423721
194,Trinidad and Tobago,2019,23886216403.3455,17190.0005340576
195,Tunisia,2019,41772900763.3588,29909.9998474121
196,Turkiye,2019,761004425605.414,396839.996337891
197,Tuvalu,2019,54223149.1136601,9.99999977648258
198,Tanzania,2019,61136873692.3985,12449.9998092651
199,Uganda,2019,35353060634.2022,5860.0001335144
200,Ukraine,2019,153882982016.281,174729.995727539
201,Uruguay,2019,61231149880.5857,6489.99977111816
202,United States,2019,21372572437000.0,4817720.21484375
203,Uzbekistan,2019,59907674027.4676,116709.999084473
204,St. Vincent and the Grenadines,2019,910149698.909411,259.999990463257
205,"Venezuela, RB",2019,,112339.996337891
206,British Virgin Islands,2019,,
207,Virgin Islands (U.S.),2019,4117000000.0,
208,Vietnam,2019,330391329475.734,336489.990234375
209,Vanuatu,2019,936526267.622513,209.999993443489
210,Samoa,2019,852007104.660046,300.000011920929
211,"Yemen, Rep.",2019,21887614217.1746,11100.0003814697
212,South Africa,2019,387934574098.17,439640.014648438
213,Zambia,2019,23308667781.2258,6800.00019073486
214,Zimbabwe,2019,19284289739.0517,11760.0002288818
